date,visits,pageviews,transactions,revenue
20160801,1711,9843,34,6116.06
20160802,2140,11784,18,1361.19
20160803,2890,13724,,
20160804,3161,13326,17,1182.89
20160805,2702,13585,42,5594.26
20160806,1663,6926,10,1891.04
20160807,1622,7239,16,2410.73
20160808,2815,13179,36,5273.81
20160809,2851,13411,44,5596.4
20160810,2757,13003,46,4284.21
20160811,2667,12860,51,7427.12
20160812,2619,15583,73,8091.19
20160813,1596,6387,15,2198.71
20160814,1801,8074,28,3360.51
20160815,3043,14754,68,6220.33
20160816,2873,14311,63,5822.29
20160817,2799,14028,49,7124.89
20160818,2725,12710,48,6130.61
20160819,2379,11557,57,3467.3
20160820,1664,7776,22,3243.03
20160821,1730,7610,26,2365.31
20160822,2584,12934,65,10791.84
20160823,2754,13005,63,9625.7
20160824,2627,12850,56,5632.41
20160825,2539,14374,78,17186.21
20160826,2359,12163,58,4918.86
20160827,1654,7924,18,915.08
20160828,1682,8593,24,3094.52
20160829,2454,12270,43,6593.43
20160830,2675,11794,36,2883.71
20160831,3223,14788,37,3862.92
20160901,2687,12935,43,5852.33
20160902,2613,11190,33,4322.44
20160903,1741,6531,13,912.03
20160904,1692,6419,10,738.47
20160905,2125,8422,17,1565.8
20160906,2508,11355,40,4418.67
20160907,2562,11203,38,5407.63
20160908,2628,14680,52,6468.4
20160909,2549,11998,40,4443.98
20160910,1671,7531,14,879.05
20160911,1725,6628,17,1212.57
20160912,2465,11350,28,5577.73
20160913,2396,10718,26,4965.22
20160914,2652,13148,44,6407.05
20160915,2949,14877,32,6025.66
20160916,2603,13261,39,20266.47
20160917,1853,7383,8,155.08
20160918,1822,7887,15,892.36
20160919,2689,12711,36,4596.55
20160920,2760,13322,48,5052.73
20160921,2720,13944,40,3911.52
20160922,2581,11877,33,3485.55
20160923,2381,10783,24,1953.48
20160924,1845,8646,13,556.21
20160925,1877,8112,18,1023.21
20160926,2776,13931,44,7225.36
20160927,2727,12601,37,6485.75
20160928,2535,12325,44,6197.42
20160929,2597,11900,32,2499.37
20160930,2303,9695,26,2533.15
20161001,1589,6123,6,770.72
20161002,1724,7555,25,3859.4
20161003,2514,11954,41,5553.5
20161004,4322,17601,36,2921.48
20161005,3770,15572,45,4829.02
20161006,3016,12810,35,3019.45
20161007,2892,12647,40,3851.68
20161008,2114,8586,12,803.48
20161009,2134,8412,22,1854.15
20161010,2911,11707,38,3834.26
20161011,2850,10794,43,5038.23
20161012,2871,11316,37,4728.22
20161013,2964,11653,31,4191.33
20161014,2838,10043,22,4991.04
20161015,2495,7168,10,399.56
20161016,2649,8488,20,1735.79
20161017,3397,12238,41,5824.69
20161018,3628,12010,32,6864.08
20161019,3544,12070,29,6948.65
20161020,3755,11685,32,7089.12
20161021,3419,10840,47,4320.1
20161022,3029,8983,14,1142.49
20161023,2971,9029,28,1434.77
20161024,4063,12465,33,3833.1
20161025,3842,11787,21,1356.87
20161026,4375,13380,39,4739.6
20161027,4162,12704,45,4810.76
20161028,3791,10886,33,5494.99
20161029,2964,7469,11,2180.04
20161030,3086,8305,17,970.09
20161031,3827,10386,34,3938.41
20161101,3728,11147,33,5635.72
20161102,3960,12028,28,5092.71
20161103,4014,11966,35,4327.54
20161104,3596,10303,37,4109.38
20161105,3042,8605,20,1153.61
20161106,3232,8592,21,1452.38
20161107,3832,11996,42,2533.77
20161108,3899,11857,48,6380.02
20161109,3752,10744,32,2833.6
20161110,4055,12482,25,4462.06
20161111,3588,10702,23,2511.27
20161112,3119,9029,15,1093.9
20161113,3144,9753,17,1173.73
20161114,4466,14229,39,4011.5
20161115,4685,15274,33,4371.55
20161116,4334,13676,38,5354.16
20161117,4074,13002,53,7617.23
20161118,3654,11050,37,4694.71
20161119,2984,8900,16,965.99
20161120,3247,10704,13,826.92
20161121,4143,13449,41,3974.86
20161122,3942,12004,21,2762.84
20161123,3805,11971,34,5252.59
20161124,3770,10930,16,1743.25
20161125,3759,12167,29,3358.61
20161126,3213,9549,13,3149.47
20161127,3356,10398,18,1117.02
20161128,4807,18483,73,8120.53
20161129,4337,15166,47,5105.58
20161130,4435,15172,58,13827.37
20161201,4200,14755,51,5116.25
20161202,3751,13371,43,5121.38
20161203,3044,10170,22,986.84
20161204,3220,11120,36,1629.98
20161205,4265,16723,79,9109.0
20161206,3021,14641,71,12645.28
20161207,2840,12748,50,9016.36
20161208,3013,14224,67,7753.38
20161209,2830,13382,76,8364.45
20161210,2207,9693,38,2269.42
20161211,2208,9906,56,2435.66
20161212,3433,15971,85,14009.5
20161213,3166,14099,88,9799.63
20161214,3040,14387,70,5619.77
20161215,2937,14154,75,10837.44
20161216,2956,14181,89,7958.12
20161217,2324,10429,45,2435.65
20161218,2128,9367,41,2754.03
20161219,3222,13803,71,6568.45
20161220,3110,14052,68,8963.47
20161221,2594,10929,36,2798.56
20161222,2100,8713,33,3206.64
20161223,1604,5724,19,1421.78
20161224,1231,4451,20,1003.95
20161225,1386,5596,18,1194.09
20161226,1586,5864,15,1040.48
20161227,1855,7537,17,1517.28
20161228,1763,7778,26,3384.85
20161229,1647,7087,22,4170.58
20161230,1232,4812,13,724.49
20161231,1211,4118,10,701.17
20170101,1364,5362,11,927.01
20170102,1620,6283,18,946.6
20170103,2403,9459,32,3264.78
20170104,2390,11525,31,3606.17
20170105,2193,9412,41,8859.97
20170106,2210,9079,26,4191.24
20170107,1615,5739,8,357.27
20170108,1637,5999,11,1538.3
20170109,2308,9458,39,6825.52
20170110,2268,9310,23,5860.74
20170111,2185,8298,18,1369.64
20170112,2203,8918,22,4092.51
20170113,1967,8595,28,3169.6
20170114,1526,5707,11,532.13
20170115,1576,5851,6,98.88
20170116,1906,7436,13,2721.64
20170117,2443,9899,32,3494.49
20170118,2245,8975,38,6939.11
20170119,2083,8812,27,2929.97
20170120,2074,8532,20,2422.59
20170121,1685,5988,11,900.55
20170122,1700,6763,10,1343.14
20170123,2262,8945,27,2789.54
20170124,3618,12753,28,4844.04
20170125,2986,11382,34,2678.42
20170126,2209,8975,28,3715.2
20170127,1969,7875,22,3623.98
20170128,1614,5729,4,70.54
20170129,1814,7181,19,2515.93
20170130,2392,9943,34,3609.48
20170131,2229,9525,41,7638.81
20170201,2445,10185,30,5272.76
20170202,2372,9379,27,3015.8
20170203,2182,8028,29,4583.98
20170204,1549,5889,14,961.33
20170205,1522,5761,12,762.64
20170206,2238,8580,28,3509.29
20170207,2476,9642,23,3883.87
20170208,2570,9291,24,2734.38
20170209,2678,9511,29,5593.15
20170210,2199,8273,24,4885.07
20170211,1761,6580,10,753.42
20170212,1790,6752,17,730.16
20170213,2266,8656,30,3533.05
20170214,2379,9617,51,23028.37
20170215,2629,9553,27,3551.47
20170216,2539,9446,34,5678.01
20170217,2785,9783,69,3968.08
20170218,1755,6192,13,439.89
20170219,2187,7791,21,1051.69
20170220,2374,8392,22,4251.43
20170221,2582,9368,25,6344.9
20170222,2477,9780,36,3816.78
20170223,2364,9752,32,3109.36
20170224,2093,8419,26,4180.6
20170225,1638,5687,12,835.32
20170226,1643,6071,9,620.75
20170227,2352,8578,27,3198.19
20170228,2347,8417,32,4462.78
20170301,2390,9227,32,4236.33
20170302,2267,9337,39,3071.54
20170303,2162,8183,27,2805.09
20170304,1753,8126,80,1453.77
20170305,1827,7002,30,1907.05
20170306,2396,9331,34,3433.99
20170307,2586,10103,35,6277.62
20170308,2449,8978,26,3658.75
20170309,2231,8563,30,3994.59
20170310,2194,8506,32,4666.37
20170311,1707,5716,13,925.26
20170312,1781,6127,12,576.29
20170313,2537,9933,36,4907.35
20170314,2338,8550,40,2922.36
20170315,2486,10023,31,6506.23
20170316,2409,8256,29,4033.67
20170317,2129,7942,31,3065.14
20170318,1610,6296,23,1192.21
20170319,1776,6160,17,1750.73
20170320,2383,9408,42,6811.4
20170321,2611,9050,33,5448.78
20170322,2582,9638,42,6122.49
20170323,2847,9372,25,9206.55
20170324,2374,8515,30,11091.38
20170325,1712,5774,14,864.33
20170326,1768,6024,14,1479.77
20170327,2525,9029,46,6250.0
20170328,2577,9047,44,8441.13
20170329,2525,9270,50,6169.51
20170330,2731,9905,38,4281.41
20170331,2268,8131,18,3413.18
20170401,2170,6956,12,382.06
20170402,1861,6368,14,918.04
20170403,2383,8512,36,4542.42
20170404,2978,10306,39,4020.93
20170405,2619,9193,37,27150.61
20170406,2647,9558,42,5863.49
20170407,2297,8670,44,13701.41
20170408,1829,6000,18,1348.95
20170409,1766,6134,10,1488.76
20170410,2563,9438,37,4960.61
20170411,2464,9602,29,2933.56
20170412,2341,8778,48,3628.65
20170413,2300,8570,38,5627.72
20170414,1834,7347,41,4936.74
20170415,1506,5343,7,298.28
20170416,1507,5074,16,1090.79
20170417,2279,8333,38,8590.09
20170418,2391,8600,49,11112.68
20170419,2397,9013,40,6605.1
20170420,2374,8742,39,4063.36
20170421,2210,8320,44,7572.07
20170422,1612,5667,15,1858.71
20170423,1548,5675,12,926.93
20170424,2263,8081,25,2339.74
20170425,2354,8750,33,2934.88
20170426,4224,15076,43,5142.28
20170427,2838,10342,43,16828.54
20170428,2411,9214,63,4355.19
20170429,1566,5215,20,1010.34
20170430,1594,5699,27,2555.87
20170501,2588,10099,78,7126.08
20170502,2564,10550,74,5048.24
20170503,2588,9805,70,5394.06
20170504,2806,9306,49,3056.67
20170505,1960,7612,36,7099.86
20170506,1383,5021,12,823.36
20170507,1400,4657,11,1270.52
20170508,2025,8373,53,5167.57
20170509,2108,8768,47,7329.01
20170510,2024,8041,40,5568.87
20170511,2218,8393,46,4138.5
20170512,1932,8005,54,6677.05
20170513,1251,4922,23,2189.07
20170514,1290,5527,10,661.09
20170515,2360,8571,37,3417.78
20170516,3098,10671,53,5830.43
20170517,3117,12076,41,4569.52
20170518,2715,11170,35,3566.29
20170519,2223,9607,41,4377.22
20170520,1855,7189,30,924.39
20170521,1645,7123,22,942.11
20170522,2248,9537,25,1857.24
